signal_number;date;side;signal;text;sources;;;;;;;;;;;;;;;;;;;;;
1;27 January 2022;R;R1;Medvedev: Russia has “the right” to use nuclear weapons in response to an existential threat, a right that makes it “possible to achieve various goals.”;" “Medvedev sees no need to review Russia’s nuclear doctrine,” TASS, January 27, 2022
[https://tass.com/politics/1393713]";;;;;;;;;;;;;;;;;;;;;
2;7 February 2022;R;R2;Putin: If Ukraine attempts to take back Crimea, European countries will be in conflict with Russia, which is a “leading” nuclear power superior to “many” NATO countries in terms of “nuclear force.”;"News conference following Russian-French talks,” Website of the President of Russia, February 8, 2022
[http://en.kremlin.ru/events/president/news/67735].";;;;;;;;;;;;;;;;;;;;;
3;19 February 2022;R;R3;Yearly nuclear exercise, normally held in autumn.;"“Учение сил стратегического сдерживания (Strategic deterrence exercise),” Website of the President of
Russia, February 19, 2022 [http://www.kremlin.ru/events/president/news/67814], and Tom Balmforth and
Maria Kiselyova, “Putin leads sweeping nuclear exercises as tensions soar,” Reuters, February 19, 2022
[https://www.reuters.com/world/europe/putin-starts-russias-strategic-nuclear-exercises-tensions-soar-2022-
02-19/].";;;;;;;;;;;;;;;;;;;;;
4;21 February 2022;R;R6;Putin: Ukraine is seeking to acquire tactical nuclear weapons, which would pose a “strategic threat” to Russia.;"“Address by the President of the Russian Federation,” Website of the President of Russia, February 21, 2022
[http://en.kremlin.ru/events/president/news/67828].";;;;;;;;;;;;;;;;;;;;;
4;22 February 2022;R;R6;Putin: Ukraine is seeking to acquire tactical nuclear weapons, which would pose a “strategic threat” to Russia.;" “Vladimir Putin answered media questions,” Website of the President of Russia, February 22, 2022
[http://en.kremlin.ru/events/president/news/67838].";;;;;;;;;;;;;;;;;;;;;
5;24 February 2022;R;R2;Putin: Whoever tries to hinder Russia will face consequences “never seen” in history.;"“Address by the President of the Russian Federation,” Website of the President of Russia, February 24, 2022
[http://en.kremlin.ru/events/president/news/67843], and “Full text: Putin’s declaration of war on Ukraine,”
The Spectator, February 24, 2022 [https://www.spectator.co.uk/article/full-text-putin-s-declaration-of-war-on-
ukraine], and Vladimir Isachenkov et al., “Russia attacks Ukraine as defiant Putin warns US, NATO,” AP News,
February 24, 2022 [https://apnews.com/article/russia-ukraine-europe-russia-moscow-kyiv-
626a8c5ec22217bacb24ece60fac4fe1].";;;;;;;;;;;;;;;;;;;;;
6;24 February 2022;R;R2;Putin: Russia is “one of the most powerful nuclear states” and “there should be no doubt for anyone” that a direct attack on Russia would lead to defeat.;"“Full text: Putin’s declaration of war on Ukraine,” The Spectator, February 24, 2022
[https://www.spectator.co.uk/article/full-text-putin-s-declaration-of-war-on-ukraine].
13 On Russia’s doctrine, see: “Foundations of State Policy of the Russian Federation in the Area of Nuclear
Deterrence,” CNA, June 4, 2020
[https://www.cna.org/archive/CNA_Files/pdf/foundations%20of%20state%20policy%20of%20the%20russia
n%20federation%20in%20the%20area%20of%20nuclear%20deterrence.pdf, on US doctrine, see “Fact Sheet:
2022 Nuclear Posture Review and Missile Defense Review,” Website of the US Department of Defense, March 28,
2022 [https://media.defense.gov/2022/Mar/29/2002965339/-1/-1/1/FACT-SHEET-2022-NUCLEAR-POSTURE-REVIEW-AND-MISSILE-DEFENSE-REVIEW.PDF], on French doctrine, see: “Speech of the President of
the Republic on the Defense and Deterrence Strategy,” Website of the Élysée, February 7, 2020
[https://www.elysee.fr/en/emmanuel-macron/2020/02/07/speech-of-the-president-of-the-republic-on-the-
defense-and-deterrence-strategy], on UK doctrine, see: “Global Britain in
a competitive age,” Website of the UK Government, March 16, 2021
[https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/975077/
Global_Britain_in_a_Competitive_Age-
_the_Integrated_Review_of_Security__Defence__Development_and_Foreign_Policy.pdf], and on China’s doctrine,
see: Gerald C. Brown, “Understanding the Risks and Realities of China’s Nuclear Forces,” Arms Control Today,
June, 2021 [https://www.armscontrol.org/act/2021-06/features/understanding-risks-realities-chinas-nuclear-
forces#endnote3].";;;;;;;;;;;;;;;;;;;;;
7;24 February 2022;W;W8;Biden: No US troops involved in the conflict, only to defend NATO.;"Remarks by President Biden on Russia’s Unprovoked and Unjustified Attack on Ukraine,” Website of the White
House, February 24, 2022 [https://www.whitehouse.gov/briefing-room/speeches-
remarks/2022/02/24/remarks-by-president-biden-on-russias-unprovoked-and-unjustified-attack-on-
Ukraine/].";;;;;;;;;;;;;;;;;;;;;
8;24 February 2022;W;W1;Le Drian: NATO also has nuclear weapons.;"’Poutine doit comprendre’ que l'OTAN ‘est une alliance nucléaire’, lance Le Drian (‘Putin must understand’
that NATO ‘is a nuclear alliance,’ says Le Drian),” Le Figaro, February 24, 2022
[https://video.lefigaro.fr/figaro/video/poutine-doit-comprendre-que-lotan-est-une-alliance-nucleaire-lance-le-
Drian/].";;;;;;;;;;;;;;;;;;;;;
9;26 February 2022;W;W8;Western states decide to only impose economic sanctions upon Russia and deliver military support for Ukraine.;"Chad P. Bown, “Russia's war on Ukraine: A sanctions timeline,” PIIE, August 15, 2022
[https://www.piie.com/blogs/realtime-economic-issues-watch/russias-war-ukraine-sanctions-timeline].; “Department of Defense Statement on Additional Military Assistance for Ukraine,” Website of the US
Department of Defense, February 26, 2022
[https://www.defense.gov/News/Releases/Release/Article/2947554/department-of-defense-statement-on-
additional-military-assistance-for-ukraine/]";;;;;;;;;;;;;;;;;;;;;
10;27 February 2022;W;W4;Truss: Russia must be stopped in Ukraine.;"“In Full: Trevor Phillips On Sunday,” Sky news, February 27, 2022[https://news.sky.com/video/in-full-trevor-
Phillips-on-sunday-12553126].";;;;;;;;;;;;;;;;;;;;;
11;27 February 2022;R;R5;Belarus amended constitution to be able to host nuclear weapons.;"“Belarus referendum approves proposal to renounce non-nuclear status – agencies,” Reuters, February 28,
2022 [https://www.reuters.com/world/europe/launchpad-russias-assault-ukraine-belarus-holds-referendum-
Renounce-non-nuclear-2022-02-27/].";;;;;;;;;;;;;;;;;;;;;
12;27 February 2022;R;R2;Putin: Russian deterrence forces will be placed on “high combat alert.”;"“Meeting with Sergei Shoigu and Valery Gerasimov,” Website of the President of Russia, February 27, 2022
[http://en.kremlin.ru/events/president/transcripts/67876].;  “‘Abschreckungskräfte‘ in Alarmbereitschaft (‘Deterrence forces‘ on alert),” Tagesschau, February 27, 2022
[https://www.tagesschau.de/ausland/europa/putin-atomstreitkraefte-101.html]";;;;;;;;;;;;;;;;;;;;;
13;28 February 2022;R;R8;Shoigu: High combat alert = more personnel.;"Strategic Missile Forces, Northern, Pacific fleets, long-range aviation put on high alert - Russian Defense
Ministry,” Interfax, February 28, 2022 [https://interfax.com/newsroom/top-stories/74752/].";;;;;;;;;;;;;;;;;;;;;
14;28 February 2022;W;W1;Psaki: Announces additional support for Ukraine, but the United States can defend itself.;"“'This Week' Transcript 2-27-22: White House Press Secretary Jen Psaki, Sen. Tom Cotton & Amb. Oksana
Markarova,” ABC News, February 27, 2022 [https://abcnews.go.com/Politics/week-transcript-27-22-white-
house-press-secretary/story?id=83130361].";;;;;;;;;;;;;;;;;;;;;
15;27 February 2022;W;W4;Borrell: Financial aid to Ukraine, but also military jets (MiGs).;" “Informal videoconference of Foreign Affairs Ministers: Remarks by High Representative/Vice-President Josep
Borrell at the ess conference,” Website of the European External Action Service, February 27, 2022.
[https://eeas.europa.eu/headquarters/headquarters-homepage/111758/informal-videoconference-foreign-
affairs-ministers-remarks-high-representativevice-president_en].; Claire Mills and John Curtis, “Military assistance to Ukraine since the Russian invasion,” House of Commons
Library, August 15, 2022 [https://researchbriefings.files.parliament.uk/documents/CBP-9477/CBP-9477.pdf].; Paul McLeary, Alexander Ward and Betsy Woodruff Swan, “Shot down: How Biden scuttled the deal to get
MiGs to Ukraine,” Politico, March 10, 2022 [https://www.politico.com/news/2022/03/10/poland-fighter-jet-
Deal-ukraine-russia-00016038].; “Informal videoconference of Foreign Affairs Ministers: Remarks by High Representative/Vice-President Josep
Borrell at the press conference,” Website of the European External Action Service, February 27, 2022
[https://eeas.europa.eu/headquarters/headquarters-homepage/111758/informal-videoconference-foreign-
Affairs-ministers-remarks-high-representativevice-president_en].";;;;;;;;;;;;;;;;;;;;;
16;28 February 2022;W;W2;US warning Russia against using tactical nuclear weapons.;"David E. Sanger, “U.S. warns Moscow against using chemical or biological weapons,” The New York Times,
March 16, 2022 [https://www.nytimes.com/live/2022/03/16/world/ukraine-russia-war/jake-sullivan-
moscow-chemical-weapons?smid=url-share]";;;;;;;;;;;;;;;;;;;;;
17;28 February 2022;R;R6;Zakharova: United States dreams of deploying nuclear weapons to Ukraine.;"It would be US ‘golden dream’ to have nuclear weapons in Ukraine — diplomat,” TASS, February 28, 2022
[https://tass.com/world/1412847]";;;;;;;;;;;;;;;;;;;;;
18;1 March 2022;R;R3;Russian military exercises with nuclear submarines in the Barents Sea and with mobile ICBMs in Siberia.;"Vladimir Isachenkov, “Russia holds drills with nuclear subs, land-based missiles,” AP News, March 1, 2022
[https://apnews.com/article/russia-ukraine-vladimir-putin-business-europe-moscow-
563573526a93ea73a95698d8ddb61b9c].";;;;;;;;;;;;;;;;;;;;;
19;1 March 2022;W;W8;Biden: US citizens have no reason to be afraid of nuclear war. US forces will not fight in Ukraine, only defend NATO.;"„Remarks of President Joe Biden – State of the Union Address As Prepared for Delivery,” Website of the White
House, March 1, 2022 [https://www.whitehouse.gov/briefing-room/speeches-remarks/2022/03/01/remarks-
Of-president-joe-biden-state-of-the-union-address-as-delivered/].";;;;;;;;;;;;;;;;;;;;;
20;1 March 2022;R;R6;Lavrov: Ukraine had been seeking nuclear weapons and still had nuclear technologies and delivery means – Russia had to respond to this danger.;"Emma Farge, “Russia says ‘real danger’ of Ukraine acquiring nuclear weapons required response,” Reuters,
March 1, 2022 [https://www.reuters.com/world/russias-lavrov-says-there-is-danger-ukraine-acquiring-
Nuclear-weapons-2022-03-01/].";;;;;;;;;;;;;;;;;;;;;
21;2 March 2022;W;W8;Poland, Slovakia, Bulgaria, said NATO will not send MiGs to Ukraine.;"Paul McLeary, Alexander Ward and Betsy Woodruff Swan, “Shot down: How Biden scuttled the deal to get MiGs
to Ukraine,” Politico, March 10, 2022 [https://www.politico.com/news/2022/03/10/poland-fighter-jet-deal-
Ukraine-russia-00016038].";;;;;;;;;;;;;;;;;;;;;
22;2 March 2022;W;W8;United States reschedules Minuteman III test.;"“Austin Postpones Test of Minuteman III Missile,” Website of the US Department of Defense, March 2, 2022
[https://www.defense.gov/News/News-Stories/Article/Article/2952925/].";;;;;;;;;;;;;;;;;;;;;
